GEOID,NAME,variable,estimate,moe
17009,"Brown County, Illinois",B07011_001,31299,4075
17009,"Brown County, Illinois",B15003_001,4828,173
17009,"Brown County, Illinois",B15003_017,1507,181
17009,"Brown County, Illinois",B15003_018,382,112
17009,"Brown County, Illinois",B15003_019,404,99
17009,"Brown County, Illinois",B15003_020,708,108
17009,"Brown County, Illinois",B15003_021,356,81
17009,"Brown County, Illinois",B15003_022,494,127
17009,"Brown County, Illinois",B15003_023,95,43
17009,"Brown County, Illinois",B15003_024,22,21
17009,"Brown County, Illinois",B15003_025,9,13
17009,"Brown County, Illinois",B17001_001,4713,350
17009,"Brown County, Illinois",B19301_001,22835,2480
17009,"Brown County, Illinois",B25002_001,2454,147
17009,"Brown County, Illinois",B25002_003,364,93
17009,"Brown County, Illinois",B25007_001,2090,181
17009,"Brown County, Illinois",B25007_002,1601,179
17009,"Brown County, Illinois",B25024_001,2454,147
17009,"Brown County, Illinois",B25024_002,1889,178
17009,"Brown County, Illinois",B25024_003,19,23
17009,"Brown County, Illinois",B25077_001,99800,12410
17011,"Bureau County, Illinois",B01001H_001,28659,84
17011,"Bureau County, Illinois",B01002_001,44.2,0.3
17011,"Bureau County, Illinois",B02001_001,32878,NA
17011,"Bureau County, Illinois",B02001_002,30544,233
17011,"Bureau County, Illinois",B07001_017,29131,515
17011,"Bureau County, Illinois",B07011_001,29335,1260
17011,"Bureau County, Illinois",B15003_001,23397,49
17011,"Bureau County, Illinois",B15003_017,7204,299
17011,"Bureau County, Illinois",B15003_018,1222,165
17011,"Bureau County, Illinois",B15003_019,2346,244
17011,"Bureau County, Illinois",B15003_020,3372,247
17011,"Bureau County, Illinois",B15003_021,2225,238
17011,"Bureau County, Illinois",B15003_022,3234,299
17011,"Bureau County, Illinois",B15003_023,1168,160
17011,"Bureau County, Illinois",B15003_024,295,85
17011,"Bureau County, Illinois",B15003_025,144,54
17011,"Bureau County, Illinois",B17001_001,32318,172
17011,"Bureau County, Illinois",B19301_001,29700,1050
17011,"Bureau County, Illinois",B25002_001,15679,79
17011,"Bureau County, Illinois",B25002_003,1878,247
17011,"Bureau County, Illinois",B25007_001,13801,253
17011,"Bureau County, Illinois",B25007_002,10393,275
17011,"Bureau County, Illinois",B25024_001,15679,79
17011,"Bureau County, Illinois",B25024_002,13243,209
17011,"Bureau County, Illinois",B25024_003,256,94
17011,"Bureau County, Illinois",B25077_001,103900,4190
17013,"Calhoun County, Illinois",B01001H_001,4601,64
17013,"Calhoun County, Illinois",B01002_001,46.8,0.5
17013,"Calhoun County, Illinois",B02001_001,4782,NA
17013,"Calhoun County, Illinois",B02001_002,4634,69
17013,"Calhoun County, Illinois",B07001_017,4602,65
17013,"Calhoun County, Illinois",B07011_001,29680,4496
17013,"Calhoun County, Illinois",B15003_001,3478,11
17013,"Calhoun County, Illinois",B15003_017,1347,152
17013,"Calhoun County, Illinois",B15003_018,102,38
17013,"Calhoun County, Illinois",B15003_019,225,73
17013,"Calhoun County, Illinois",B15003_020,478,124
17013,"Calhoun County, Illinois",B15003_021,558,137
17013,"Calhoun County, Illinois",B15003_022,334,71
17013,"Calhoun County, Illinois",B15003_023,180,83
17013,"Calhoun County, Illinois",B15003_024,17,16
17013,"Calhoun County, Illinois",B15003_025,15,17
17013,"Calhoun County, Illinois",B17001_001,4667,39
17013,"Calhoun County, Illinois",B19301_001,30282,2706
17013,"Calhoun County, Illinois",B25002_001,2896,26
17013,"Calhoun County, Illinois",B25002_003,1235,85
17013,"Calhoun County, Illinois",B25007_001,1661,91
17013,"Calhoun County, Illinois",B25007_002,1473,102
17013,"Calhoun County, Illinois",B25024_001,2896,26
17013,"Calhoun County, Illinois",B25024_002,2377,94
17013,"Calhoun County, Illinois",B25024_003,67,32
17013,"Calhoun County, Illinois",B25077_001,131800,17120
17015,"Carroll County, Illinois",B01001H_001,13380,25
17015,"Carroll County, Illinois",B01002_001,48,0.5
17015,"Carroll County, Illinois",B02001_001,14398,NA
17015,"Carroll County, Illinois",B02001_002,13737,89
17015,"Carroll County, Illinois",B07001_017,12945,248
17015,"Carroll County, Illinois",B07011_001,30087,1913
17015,"Carroll County, Illinois",B15003_001,10693,101
17015,"Carroll County, Illinois",B15003_017,3428,236
17015,"Carroll County, Illinois",B15003_018,592,107
17015,"Carroll County, Illinois",B15003_019,1059,152
17015,"Carroll County, Illinois",B15003_020,1501,174
17015,"Carroll County, Illinois",B15003_021,947,166
17015,"Carroll County, Illinois",B15003_022,1385,194
17015,"Carroll County, Illinois",B15003_023,587,103
17015,"Carroll County, Illinois",B15003_024,87,50
17015,"Carroll County, Illinois",B15003_025,51,25
17015,"Carroll County, Illinois",B17001_001,13733,270
17015,"Carroll County, Illinois",B19301_001,30090,1740
17015,"Carroll County, Illinois",B25002_001,8453,143
17015,"Carroll County, Illinois",B25002_003,1942,225
17015,"Carroll County, Illinois",B25007_001,6511,276
17015,"Carroll County, Illinois",B25007_002,4935,240
17015,"Carroll County, Illinois",B25024_001,8453,143
17015,"Carroll County, Illinois",B25024_002,7092,202
17015,"Carroll County, Illinois",B25024_003,112,55
17015,"Carroll County, Illinois",B25077_001,102200,4950
17017,"Cass County, Illinois",B01001H_001,9230,15
17017,"Cass County, Illinois",B01002_001,39.4,0.8
17017,"Cass County, Illinois",B02001_001,12324,NA
17017,"Cass County, Illinois",B02001_002,10874,196
17017,"Cass County, Illinois",B07001_017,10753,302
17017,"Cass County, Illinois",B07011_001,31048,1328
17017,"Cass County, Illinois",B15003_001,8356,95
17017,"Cass County, Illinois",B15003_017,2852,254
17017,"Cass County, Illinois",B15003_018,541,159
17017,"Cass County, Illinois",B15003_019,696,111
17017,"Cass County, Illinois",B15003_020,917,179
17017,"Cass County, Illinois",B15003_021,625,111
17017,"Cass County, Illinois",B15003_022,974,143
17017,"Cass County, Illinois",B15003_023,304,81
17017,"Cass County, Illinois",B15003_024,36,23
17017,"Cass County, Illinois",B15003_025,21,20
17017,"Cass County, Illinois",B17001_001,12174,89
17017,"Cass County, Illinois",B19301_001,26747,1293
17017,"Cass County, Illinois",B25002_001,5816,56
17017,"Cass County, Illinois",B25002_003,748,141
17017,"Cass County, Illinois",B25007_001,5068,159
17017,"Cass County, Illinois",B25007_002,3820,176
17017,"Cass County, Illinois",B25024_001,5816,56
17017,"Cass County, Illinois",B25024_002,4482,202
17017,"Cass County, Illinois",B25024_003,26,26
17017,"Cass County, Illinois",B25077_001,81700,4049
17019,"Champaign County, Illinois",B01001H_001,139664,345
17019,"Champaign County, Illinois",B01002_001,30.4,0.1
17019,"Champaign County, Illinois",B02001_001,210006,NA
17019,"Champaign County, Illinois",B02001_002,148603,637
17019,"Champaign County, Illinois",B07001_017,164114,1973
17019,"Champaign County, Illinois",B07011_001,29941,841
17019,"Champaign County, Illinois",B15003_001,122470,87
17019,"Champaign County, Illinois",B15003_017,23191,1213
17019,"Champaign County, Illinois",B15003_018,3618,564
17019,"Champaign County, Illinois",B15003_019,8119,725
17019,"Champaign County, Illinois",B15003_020,15990,1033
17019,"Champaign County, Illinois",B15003_021,10139,750
17019,"Champaign County, Illinois",B15003_022,25835,1127
17019,"Champaign County, Illinois",B15003_023,17781,1016
17019,"Champaign County, Illinois",B15003_024,4174,561
17019,"Champaign County, Illinois",B15003_025,7369,614
17019,"Champaign County, Illinois",B17001_001,194472,672
17019,"Champaign County, Illinois",B19301_001,31254,800
17019,"Champaign County, Illinois",B25002_001,93679,322
17019,"Champaign County, Illinois",B25002_003,10620,907
17019,"Champaign County, Illinois",B25007_001,83059,997
17019,"Champaign County, Illinois",B25007_002,44088,927
17019,"Champaign County, Illinois",B25024_001,93679,322
17019,"Champaign County, Illinois",B25024_002,49094,889
17019,"Champaign County, Illinois",B25024_003,4569,422
17019,"Champaign County, Illinois",B25077_001,166600,3395
17021,"Christian County, Illinois",B01001H_001,31048,25
17021,"Christian County, Illinois",B01002_001,43.7,0.5
17021,"Christian County, Illinois",B02001_001,32705,NA
17021,"Christian County, Illinois",B02001_002,31533,44
17021,"Christian County, Illinois",B07001_017,29325,527
17021,"Christian County, Illinois",B07011_001,31180,912
17021,"Christian County, Illinois",B15003_001,23717,77
17021,"Christian County, Illinois",B15003_017,7881,493
17021,"Christian County, Illinois",B15003_018,1573,236
17021,"Christian County, Illinois",B15003_019,1865,218
17021,"Christian County, Illinois",B15003_020,2953,366
17021,"Christian County, Illinois",B15003_021,2401,338
17021,"Christian County, Illinois",B15003_022,3023,406
17021,"Christian County, Illinois",B15003_023,956,200
17021,"Christian County, Illinois",B15003_024,211,112
17021,"Christian County, Illinois",B15003_025,64,43
17021,"Christian County, Illinois",B17001_001,31002,243
17021,"Christian County, Illinois",B19301_001,28959,1285
17021,"Christian County, Illinois",B25002_001,15592,120
17021,"Christian County, Illinois",B25002_003,1615,264
17021,"Christian County, Illinois",B25007_001,13977,285
17021,"Christian County, Illinois",B25007_002,10329,343
17021,"Christian County, Illinois",B25024_001,15592,120
17021,"Christian County, Illinois",B25024_002,12947,318
17021,"Christian County, Illinois",B25024_003,228,145
17021,"Christian County, Illinois",B25077_001,93200,3160
17023,"Clark County, Illinois",B01001H_001,15069,19
17023,"Clark County, Illinois",B01002_001,41.9,1
17023,"Clark County, Illinois",B02001_001,15602,NA
17023,"Clark County, Illinois",B02001_002,15133,59
17023,"Clark County, Illinois",B07001_017,13956,342
17023,"Clark County, Illinois",B07011_001,33937,2231
17023,"Clark County, Illinois",B15003_001,10918,69
17023,"Clark County, Illinois",B15003_017,3823,384
17023,"Clark County, Illinois",B15003_018,443,138
17023,"Clark County, Illinois",B15003_019,869,180
17023,"Clark County, Illinois",B15003_020,1142,208
17023,"Clark County, Illinois",B15003_021,1515,194
17023,"Clark County, Illinois",B15003_022,1517,273
17023,"Clark County, Illinois",B15003_023,761,210
17023,"Clark County, Illinois",B15003_024,43,30
17023,"Clark County, Illinois",B15003_025,64,50
17023,"Clark County, Illinois",B17001_001,15325,111
17023,"Clark County, Illinois",B19301_001,30649,1538
17023,"Clark County, Illinois",B25002_001,7822,55
17023,"Clark County, Illinois",B25002_003,1096,226
17023,"Clark County, Illinois",B25007_001,6726,229
17023,"Clark County, Illinois",B25007_002,5243,289
17023,"Clark County, Illinois",B25024_001,7822,55
17023,"Clark County, Illinois",B25024_002,6264,241
17023,"Clark County, Illinois",B25024_003,76,63
17023,"Clark County, Illinois",B25077_001,94900,5718
17025,"Clay County, Illinois",B01001H_001,12687,19
17025,"Clay County, Illinois",B01002_001,42.1,1.1
17025,"Clay County, Illinois",B02001_001,13217,NA
17025,"Clay County, Illinois",B02001_002,12717,28
17025,"Clay County, Illinois",B07001_017,11439,448
17025,"Clay County, Illinois",B07011_001,28349,2521
17025,"Clay County, Illinois",B15003_001,9296,81
