GEOID,NAME,variable,estimate,moe
10220,"Ada, OK Micro Area",B19301_001,27038,1111
10220,"Ada, OK Micro Area",B25002_001,16861,157
10220,"Ada, OK Micro Area",B25002_003,2627,223
10220,"Ada, OK Micro Area",B25007_001,14234,246
10220,"Ada, OK Micro Area",B25007_002,9278,346
10220,"Ada, OK Micro Area",B25024_001,16861,157
10220,"Ada, OK Micro Area",B25024_002,12795,294
10220,"Ada, OK Micro Area",B25024_003,210,84
10220,"Ada, OK Micro Area",B25077_001,134700,8882
10300,"Adrian, MI Micro Area",B01001H_001,84768,132
10300,"Adrian, MI Micro Area",B01002_001,42.1,0.4
10300,"Adrian, MI Micro Area",B02001_001,98310,NA
10300,"Adrian, MI Micro Area",B02001_002,91077,426
10300,"Adrian, MI Micro Area",B07001_017,84513,1209
10300,"Adrian, MI Micro Area",B07011_001,29355,1272
10300,"Adrian, MI Micro Area",B15003_001,68488,160
10300,"Adrian, MI Micro Area",B15003_017,21633,820
10300,"Adrian, MI Micro Area",B15003_018,3834,314
10300,"Adrian, MI Micro Area",B15003_019,5750,519
10300,"Adrian, MI Micro Area",B15003_020,10367,611
10300,"Adrian, MI Micro Area",B15003_021,6338,459
10300,"Adrian, MI Micro Area",B15003_022,9123,507
10300,"Adrian, MI Micro Area",B15003_023,4428,457
10300,"Adrian, MI Micro Area",B15003_024,587,135
10300,"Adrian, MI Micro Area",B15003_025,285,85
10300,"Adrian, MI Micro Area",B17001_001,93280,498
10300,"Adrian, MI Micro Area",B19301_001,28695,802
10300,"Adrian, MI Micro Area",B25002_001,43894,221
10300,"Adrian, MI Micro Area",B25002_003,5201,434
10300,"Adrian, MI Micro Area",B25007_001,38693,502
10300,"Adrian, MI Micro Area",B25007_002,30116,595
10300,"Adrian, MI Micro Area",B25024_001,43894,221
10300,"Adrian, MI Micro Area",B25024_002,34771,555
10300,"Adrian, MI Micro Area",B25024_003,675,115
10300,"Adrian, MI Micro Area",B25077_001,143000,4513
10380,"Aguadilla-Isabela, PR Metro Area",B01001H_001,7063,772
10380,"Aguadilla-Isabela, PR Metro Area",B01002_001,43.5,0.2
10380,"Aguadilla-Isabela, PR Metro Area",B02001_001,295172,NA
10380,"Aguadilla-Isabela, PR Metro Area",B02001_002,205365,3192
10380,"Aguadilla-Isabela, PR Metro Area",B07001_017,NA,NA
10380,"Aguadilla-Isabela, PR Metro Area",B07011_001,NA,NA
10380,"Aguadilla-Isabela, PR Metro Area",B15003_001,213775,NA
10380,"Aguadilla-Isabela, PR Metro Area",B15003_017,55468,1685
10380,"Aguadilla-Isabela, PR Metro Area",B15003_018,4710,586
10380,"Aguadilla-Isabela, PR Metro Area",B15003_019,2315,332
10380,"Aguadilla-Isabela, PR Metro Area",B15003_020,20800,968
10380,"Aguadilla-Isabela, PR Metro Area",B15003_021,20885,1072
10380,"Aguadilla-Isabela, PR Metro Area",B15003_022,33824,1284
10380,"Aguadilla-Isabela, PR Metro Area",B15003_023,8751,826
10380,"Aguadilla-Isabela, PR Metro Area",B15003_024,1148,259
10380,"Aguadilla-Isabela, PR Metro Area",B15003_025,1352,367
10380,"Aguadilla-Isabela, PR Metro Area",B17001_001,293121,422
10380,"Aguadilla-Isabela, PR Metro Area",B19301_001,10429,348
10380,"Aguadilla-Isabela, PR Metro Area",B25002_001,147417,807
10380,"Aguadilla-Isabela, PR Metro Area",B25002_003,35755,1238
10380,"Aguadilla-Isabela, PR Metro Area",B25007_001,111662,1375
10380,"Aguadilla-Isabela, PR Metro Area",B25007_002,72424,1513
10380,"Aguadilla-Isabela, PR Metro Area",B25024_001,147417,807
10380,"Aguadilla-Isabela, PR Metro Area",B25024_002,110121,1209
10380,"Aguadilla-Isabela, PR Metro Area",B25024_003,15317,872
10380,"Aguadilla-Isabela, PR Metro Area",B25077_001,96300,1534
10420,"Akron, OH Metro Area",B01001H_001,556540,725
10420,"Akron, OH Metro Area",B01002_001,40.3,0.2
10420,"Akron, OH Metro Area",B02001_001,703286,NA
10420,"Akron, OH Metro Area",B02001_002,565854,914
10420,"Akron, OH Metro Area",B07001_017,608350,3673
10420,"Akron, OH Metro Area",B07011_001,31130,346
10420,"Akron, OH Metro Area",B15003_001,487563,164
10420,"Akron, OH Metro Area",B15003_017,138350,2660
10420,"Akron, OH Metro Area",B15003_018,15098,1087
10420,"Akron, OH Metro Area",B15003_019,31006,1376
10420,"Akron, OH Metro Area",B15003_020,68089,2156
10420,"Akron, OH Metro Area",B15003_021,40325,1701
